model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),storage_size,storage_type,graphics,Operating System,screen_size(inches),resolution (pixels),price,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category,budget_category,recommendation_note
Realme Book Slim Laptop,Realme,11th Gen Core i5,8,512,0,512,SSD,Intel Iris Xe Graphics,Windows,14.0,1440 x 2160,49990,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop,Asus,Ryzen 5-5600H,16,512,0,512,SSD,AMD Radeon Vega 7 Graphics,Windows,16.0,1920 x 1200,53990,72,31,80,80,55.95,64.95,72.7,65.35,62.5,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Apple MacBook Air 2022 Laptop,Apple,Apple M2,8,256,0,256,SSD,8-Core GPU,Mac,13.6,2560 x 1664,107990,85,35,55,65,55.0,62.0,65.5,61.0,61.0,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Asus VivoBook 14 X415JA-BV301WS Laptop,Asus,10th Gen Core i3,8,0,1000,1000,HDD,Intel UHD Graphics,Windows,14.0,1920 x 1080,29890,48,25,55,70,42.0,47.3,55.15,48.4,45.8,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
HP 15s-fq2717TU Laptop,HP,11th Gen Core i3,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,41900,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo V15 ‎82C70005UK Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,512,SSD,AMD Radeon Graphics,Windows,15.6,1920 x 1080,38480,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo V15 82KDA00XIH Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,512,SSD,AMD Radeon Graphics,Windows,15.6,1920 x 1080,38489,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo E41-55 82FJ00AGIH Laptop,Lenovo,Athlon Gold 3150U,4,256,0,256,SSD,AMD Radeon RADEON,Windows,14.0,1920 x 1080,18990,26,30,30,65,34.25,33.85,41.05,35.8,33.85,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Asus VivoBook 15 X1500EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,35978,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Victus 15-fa0165TX Laptop,HP,12th Gen Core i5,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,69990,71,58,55,80,64.1,65.1,68.85,65.55,65.25,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
HP 15s-FR2511TU Laptop,HP,11th Gen Core i3,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,40880,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus TUF Gaming A17 FA706IHRB-HX041W Gaming Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,17.3,1920 x 1080,52990,65,58,55,80,62.6,63.0,67.05,63.75,63.15,Gaming,Low Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
HP Pavilion 15-eg2009TU Laptop,HP,12th Gen Core i5,8,512,0,512,SSD,Intel Iris Xe,Windows,15.6,1920 x 1080,62990,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP 15s- eq2212AU Laptop,HP,AMD Ryzen 3 5300U,8,512,0,512,SSD,AMD Radeon Graphics,Windows,15.6,1920 x 1080,37990,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,256,1000,256,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,57990,71,42,55,65,54.65,58.85,62.0,58.55,58.2,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
HP 245 G8 62G68PA Laptop,HP,AMD Ryzen 3  3250U,8,0,1000,1000,HDD,AMD Radeon Graphics,Windows,14.0,1920 x 1080,27890,32,30,55,70,40.25,42.95,50.85,44.85,41.7,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Acer One 14 Z2-493 Laptop,Acer,AMD Ryzen 3 3250U,4,256,0,256,SSD,AMD Radeon Radeon Graphics,Windows,14.0,1366 x 768,20990,32,30,30,65,35.75,35.95,42.85,37.6,35.95,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,64990,71,70,55,80,69.5,68.1,70.05,68.55,68.85,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Dell Inspiron 5320 Laptop,Dell,12th Gen Core i7,16,512,0,512,SSD,Intel Integrated UHD,Windows,13.3,1920 x 1080,84918,81,25,80,80,55.5,66.6,74.8,66.55,63.85,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
MSI Bravo 15 B5DD-410IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,512,SSD,4 GB AMD Radeon RX 5500M,Windows,15.6,1920 x 1080,47990,72,52,55,80,61.65,63.95,68.55,64.35,63.8,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,0,512,SSD,AMD Radeon,Windows,14.0,1920 x 1200,61100,62,30,80,80,53.0,61.2,69.6,62.1,58.7,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Victus 15-fa0070TX Laptop,HP,12th Gen Core i5,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,67990,71,58,55,80,64.1,65.1,68.85,65.55,65.25,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Lenovo IdeaPad Slim 1 82R10049IN Laptop,Lenovo,AMD Ryzen 3 3250U,8,512,0,512,SSD,AMD Radeon Graphics,Windows,15.6,1920 x 1080,34300,32,30,55,80,41.75,44.45,54.35,46.85,43.2,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus Vivobook S15 OLED K3502ZA-L501WS Laptop,Asus,12th Gen Core i5,16,512,0,512,SSD,Intel Iris XE Graphics,Windows,15.6,1920 x 1080,73000,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad D330 82H0001YIN Laptop,Lenovo,Celeron N4020,4,0,128,128,HDD,Intel UHD Graphics 600,Windows,10.1,1200 x 800,22999,22,25,30,25,25.0,25.2,25.35,25.35,24.95,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Infinix INBook X1 XL11 Laptop,Infinix,10th Gen Core i3,8,256,0,256,SSD,Intel Integrated UHD,Windows,14.0,1920 x 1080,37999,48,25,55,65,41.25,46.55,53.4,47.4,45.05,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan"
Realme Book Slim Laptop,Realme,11th Gen Core i5,8,512,0,512,SSD,Intel Iris Xe Graphics,Windows,14.0,1440 x 2160,39990,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Infinix Zero Book Series ZL12 Laptop,Infinix,12th Gen Core i7,16,512,0,512,SSD,Intel Integrated Iris Xe,Windows,15.6,1920 x 1080,64990,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Asus VivoBook 15 X1500EA-EJ701W Laptop,Asus,11th Gen Core i7,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,56799,78,42,80,80,62.4,69.8,75.6,69.9,67.9,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad Gaming 3 82K201YAIN Laptop,Lenovo,AMD Ryzen 5 5600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,55990,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming Laptop,Asus,Ryzen 5 5600H,8,512,0,512,SSD,AMD Radeon Graphics,Windows,14.0,2880 x 1800,53000,72,30,55,80,51.75,58.45,66.35,58.85,57.2,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP Pavilion x360 14-ek0074TU Laptop,HP,12th Gen Core i5,16,512,0,512,SSD,Intel Integrated Iris Xe,Windows,14.0,1920 x 1080,73490,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad Gaming 3 82K201UEIN Laptop,Lenovo,AMD Ryzen 5-5600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,58490,72,58,55,80,64.35,65.45,69.15,65.85,65.6,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Asus Vivobook Pro 15 OLED M6500IH-HN701WS Laptop,Asus,Ryzen 7-4800H,16,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650 Max Q,Windows,15.6,1920 x 1080,58990,72,55,80,80,66.75,70.95,75.1,71.35,69.7,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,54990,65,58,55,80,62.6,63.0,67.05,63.75,63.15,Gaming,Low Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
HP Victus 15-fb0050AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,512,SSD,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,67600,72,70,55,80,69.75,68.45,70.35,68.85,69.2,Gaming,Mid Budget,Cocok untuk gaming karena memiliki GPU yang cukup kuat; Memiliki storage yang mendukung workflow lebih cepat
Lenovo IdeaPad Slim 5 82SF008YIN Laptop,Lenovo,12th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,72490,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,Acer,12th Gen Core i5,16,512,0,512,SSD,4 GB NVIDIA GeForce RTX 2050,Windows,15.6,1920 x 1080,62990,71,60,80,80,68.75,71.85,75.3,72.3,70.85,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Asus VivoBook 15 X1500EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,512,SSD,Intel UHD Graphics,Windows,15.6,1920 x 1080,35325,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP 14s-dy5005TU Laptop,HP,12th Gen Core i5,16,512,0,512,SSD,Intel Integrated Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,63990,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing,Mid Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Asus Vivobook 15 2022 X1502ZA-EJ312WS Laptop,Asus,12th Gen Core i3,8,512,0,512,SSD,Intel Iris Xe,Windows,15.6,1920 x 1080,42300,54,42,55,80,52.65,55.15,62.15,56.45,54.5,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo IdeaPad Slim 3 82RK0062IN Laptop,Lenovo,12th Gen Core i5,8,512,0,512,SSD,‎Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,58490,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
MSI Thin GF63 11SC-852IN Gaming Laptop,MSI,11th Gen Core i7,8,512,0,512,SSD,4 GB NVIDIA GeForce GTX 1650 MAX Q,Windows,15.6,1920 x 1080,64000,78,55,55,80,64.5,66.8,70.65,66.9,66.8,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop,Asus,12th Gen Core i7,16,1000,0,1000,SSD,Intel Iris Xe Graphics,Windows,17.3,2560 x 1920,329990,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Nokia PureBook S14 NKi511TL165S Laptop,Nokia,11th Gen Core i5,16,512,0,512,SSD,Intel Integrated Iris Xe,Windows,14.1,1920 x 1080,40990,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing,Low Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,8,512,0,512,SSD,Intel UHD Graphics,Windows,14.0,1366 x 768,73740,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Acer Aspire 3 A315-24 Laptop,Acer,Ryzen 5 7520U,8,512,0,512,SSD,AMD Radeon Graphiics,Windows,15.6,1920 x 1080,52490,52,30,55,80,46.75,51.45,60.35,52.85,50.2,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
HP 14s-dq2649TU Laptop,HP,11th Gen Core i3,8,512,0,512,SSD,Intel Integrated UHD,Windows,14.0,1920 x 1080,45500,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop,Samsung,12th Gen Core i5,8,512,0,512,SSD,Intel Integrated UHD,Windows,15.6,1920 x 1080,67990,71,25,55,80,49.25,56.85,65.55,57.3,55.35,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book 3 Pro NP960XFG-KC1IN Laptop,Samsung,13th Gen Core i7,16,512,0,512,SSD,‎Intel Iris Xe Graphics,Windows,16.0,2880 x 1800,149990,83,42,80,80,63.65,71.55,77.1,71.4,69.65,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC4IN Laptop,Samsung,13th Gen Core i7,16,512,0,512,SSD,‎Intel Iris Xe Graphics,Windows,14.0,2880 x 1800,139990,83,42,80,80,63.65,71.55,77.1,71.4,69.65,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC5IN Laptop,Samsung,13th Gen Core i7,16,1000,0,1000,SSD,‎Intel Iris Xe Graphics,Windows,14.0,2880 x 1800,155990,83,42,80,95,65.9,73.8,82.35,74.4,71.9,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC1IN Laptop,Samsung,13th Gen Core i5,16,512,0,512,SSD,‎Intel Iris Xe Graphics,Windows,14.0,2880 x 1800,131990,73,42,80,80,61.15,68.05,74.1,68.4,66.15,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book 3 360 15 NP750QFG-KA2IN Laptop,Samsung,13th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,114990,73,42,80,80,61.15,68.05,74.1,68.4,66.15,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
Lenovo V15 ‎82C70005UK Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,512,SSD,AMD Radeon Graphics,Windows,15.6,1920 x 1080,38490,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat"
Samsung Galaxy Book 3 360 13 NP730QFG-KA1IN Laptop,Samsung,13th Gen Core i5,16,512,0,512,SSD,Intel Iris Xe Graphics,Windows,13.3,1920 x 1080,109990,73,42,80,80,61.15,68.05,74.1,68.4,66.15,Editing,High Budget,"Cocok untuk editing karena memiliki CPU, RAM, dan storage yang mendukung; Memiliki storage yang mendukung workflow lebih cepat"
