category,price_range,name,brand,cpu,gpu,ram,storage,price_idr,marketplace,product_url,image_url,image_file,last_checked,notes
Gaming,High Range,ASUS TUF Gaming A15 FA507NV-R746K6M-O,ASUS,AMD Ryzen 7 7735HS,NVIDIA GeForce RTX 4060 8GB,16GB,512GB SSD,21999000,Shopee,https://shopee.co.id/ASUS-TUF-Gaming-A15-FA507NV-R746K6M-O-Mecha-Gray-AMD-Ryzen%E2%84%A2-7-7735HS-NVIDIA%C2%AE-GeForce-RTX%E2%84%A2-4060-16GB-512GB-15.6inch-WIN11-OHS--i.698077090.24619272085,,asus-tuf-gaming-a15-fa507nv.png,2026-06-21,RTX 4060 cocok untuk gaming 1080p tinggi dan game kompetitif
Gaming,High Range,ASUS ROG Strix G16 G614PM,ASUS,AMD Ryzen 9 8940HX,NVIDIA GeForce RTX 5060 8GB,16GB,1TB SSD,28699000,Blibli,https://www.blibli.com/p/asus-rog-strix-g16-g614pm-r9n56c6g-hm-amd-r9-8940hx-rtx-5060-ram-16gb-ssd-1tb-win11-ohs24-365/ps--MEN-60027-00758,,asus-rog-strix-g16-g614pm.png,2026-06-21,Ryzen 9 dan RTX 5060 cocok untuk gaming kelas atas
Editing,Low Range,ASUS ExpertBook P1 PM1403CDA-S65150W,ASUS,AMD Ryzen 5 7535HS,AMD Radeon Graphics,16GB,512GB SSD,11499000,Blibli,https://www.blibli.com/p/asus-expertbook-p1-pm1403cda-s65150w-ryzen-5-7535hs-16gb-ddr5-512gb-win-11-ohs-14-fhd/ps--AND-60031-05311,,asus-expertbook-p1-pm1403cda.png,2026-06-21,Ryzen 5 HS dan RAM 16GB cukup untuk editing ringan dan desain
Editing,Low Range,Acer Aspire Lite 15 AI AL15-61P-R572,Acer,AMD Ryzen 7 8840HS,AMD Radeon 780M,16GB,512GB SSD,11549000,Blibli,https://www.blibli.com/p/acer-laptop-aspire-lite-15-with-ai-al15-61p-r572-15-6-fhd-amd-ryzen-7-8840hs-ram-16gb-storage-512gb-ssd-amd-radeon-780m-graphics-windows-11/ps--ACS-60059-00874,,acer-aspire-lite-15-ai-al15-61p.png,2026-06-21,Ryzen 7 8840HS dan Radeon 780M cocok untuk editing ringan sampai menengah
Editing,Mid Range,Acer Swift Go 14 SFG14-73T-5184,Acer,Intel Core Ultra 5 125H,Intel Arc Graphics,32GB,512GB SSD,13091250,Blibli,https://www.blibli.com/p/acer-swift-go-sfg14-73t-5184-core-ultra-5-125h-32-gb-lpddr5x-ssd-512gb-win-ohs/ps--PTS-19405-03576,,acer-swift-go-14-sfg14-73t.png,2026-06-21,RAM 32GB membantu timeline editing dan multitasking aplikasi kreatif
Editing,Mid Range,MSI Prestige 14 AI Studio C1UDXG-084ID,MSI,Intel Core Ultra 5 125H,NVIDIA GeForce RTX 3050 6GB,16GB,1TB SSD,18199000,Blibli,https://www.blibli.com/p/msi-prestige-14-ai-studio-c1udxg-084id-ultra-5-125h-16g-1tb-rtx3050-6gb/ps--ITG-70002-01087,,msi-prestige-14-ai-studio-c1udxg.png,2026-06-21,RTX 3050 dan SSD 1TB mendukung editing video desain dan render menengah
Editing,High Range,ASUS ProArt P16 H7606WM-OLEDS9311TM,ASUS,AMD Ryzen AI 9 HX 370,NVIDIA GeForce RTX 5060 8GB,32GB,1TB SSD,45998000,Blibli,https://www.blibli.com/p/asus-pro-art-p16-h7606wm-oleds9311tm-amd-ryzen-ai-9-hx370-32gb-1tb-rtx5060-8gb-16-3k-oled-touch-win11home-oh-m365/ps--VII-60033-04154,,asus-proart-p16-h7606wm.png,2026-06-21,Seri ProArt dengan RTX 5060 RAM 32GB dan layar OLED kuat untuk creator
Editing,High Range,ASUS ProArt P16 OLED H7606,ASUS,AMD Ryzen AI 9 HX 370,NVIDIA GeForce RTX 4060 8GB,32GB,1TB SSD,54500000,Blibli,https://www.blibli.com/p/asus-proart-p16-oled-h7606-amd-ryzen-ai-9-hx-370-32gb-ram-1tb-ssd-rtx-4060-8gb-16-oled-4k-uhd-touch-screen/ps--MYP-70022-03402,,asus-proart-p16-oled-h7606.png,2026-06-21,Layar OLED 4K dan RTX 4060 cocok untuk editing visual serius
All-Rounder,Low Range,Acer Aspire 7 Pro A715-59G-516G,Acer,Intel Core i5-13420H,NVIDIA GeForce RTX 3050 6GB,16GB,512GB SSD,13899000,Blibli,https://www.blibli.com/p/acer-aspire-7-pro-a715-59g-516g-gaming-laptop-15-6-fhd-ips-144hz-i5-13420h-rtx-3050-6g-16g-512g-w11-ohs24-un-qx0sd-001-free-bag/ps--BLG-60035-03706,,acer-aspire-7-pro-a715-59g-516g.png,2026-06-21,Seimbang untuk gaming ringan editing ringan dan produktivitas
All-Rounder,Low Range,MSI Venture Pro 15 AI A1UDXG-023ID,MSI,Intel Core Ultra 5 125H,NVIDIA GeForce RTX 3050 6GB,16GB,512GB SSD,13999000,Blibli,https://www.blibli.com/p/msi-venturepro-15-ai-a1udxg-023id-core-5-125h-16gb-512gb-rtx3050/ps--ITG-70002-01085,,msi-venture-pro-15-ai-a1udxg.png,2026-06-21,Core Ultra dan RTX 3050 cukup seimbang untuk kerja gaming dan editing
All-Rounder,Mid Range,HP Victus 15 FA2716TX,HP,Intel Core i5-13420H,NVIDIA GeForce RTX 3050 6GB,16GB,512GB SSD,17043250,Blibli,https://www.blibli.com/p/laptop-hp-victus-15-fa2716tx-core-i5-13420h-rtx-3050-ram-16gb-ddr4-3200-ssd-512gb-windows-office/ps--PTS-19405-03884,,hp-victus-15-fa2716tx.png,2026-06-21,Laptop gaming mainstream yang masih enak untuk editing dan kerja harian
All-Rounder,Mid Range,Acer Nitro V15 Ryzen 7 RTX4050,Acer,AMD Ryzen 7 7445HS,NVIDIA GeForce RTX 4050 6GB,16GB,512GB SSD,17149000,Shopee,https://shopee.co.id/ACER-NITRO-V-15-RYZEN-7-7445HS-RTX4050-6GB-16GB-512GB-W11-OHS-M365B-15.6FHD-180HZ-100SRGB-BLIT-2Y-ADP-BLK-42.R60U-i.1273099956.42627086337,,acer-nitro-v15-ryzen7-rtx4050.png,2026-06-21,Ryzen 7 dan RTX 4050 cocok untuk gaming editing dan multitasking berat
All-Rounder,High Range,Lenovo Legion Pro 5i 16IAX10,Lenovo,Intel Core Ultra 7 255HX,NVIDIA GeForce RTX 5060 8GB,16GB,1TB SSD,33493985,Blibli,https://www.blibli.com/p/lenovo-legion-pro-5i-16iax10-core-ultra-7-255hx-16gb-1tb-rtx-5060-8gb-w11-oh24/ps--LEY-70016-00912,,lenovo-legion-pro-5i-16iax10.png,2026-06-21,CPU HX RTX 5060 dan SSD 1TB kuat untuk gaming editing dan rendering
All-Rounder,High Range,ASUS ROG Zephyrus G14 GA403GM,ASUS,AMD Ryzen AI 9 465,NVIDIA GeForce RTX 5060 8GB,32GB,1TB SSD,38299000,Blibli,https://www.blibli.com/p/asus-rog-zephyrus-g14-ga403gm-r9n56ol6g-hm-amd-ryzen-ai-9-465-32gb-1tb-rtx5060-8gb-14-3k-oled-win11home-oh-m365-eclipse-gray/ps--VII-60033-04411,,asus-rog-zephyrus-g14-ga403gm.png,2026-06-21,RAM 32GB RTX 5060 dan layar OLED cocok untuk gaming editing dan mobilitas premium
