model_name,brand,processor_name,ram(GB),ssd(GB),Hard Disk(GB),graphics,Operating System,screen_size(inches),resolution (pixels),no_of_cores,no_of_threads,spec_score,price,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category,budget_category,recommendation_note,cpu_score_source,gpu_score_source
Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop,Asus,Ryzen 5-5600H,16,512,0,AMD Radeon Vega 7 Graphics,Windows,16.0,1920 x 1200,6,12,67,53990,73.2,17.26,80,75,49.32,61.18,69.94,61.28,58.05,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Apple MacBook Air 2022 Laptop,Apple,Apple M2,8,256,0,8-Core GPU,Mac,13.6,2560 x 1664,8,0,48,107990,100.0,35.0,55,60,58.0,66.5,68.25,64.5,65.5,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,fallback
Asus VivoBook 14 X415JA-BV301WS Laptop,Asus,10th Gen Core i3,8,0,1000,Intel UHD Graphics,Windows,14.0,1920 x 1080,2,4,51,29890,54.52,16.42,55,50,36.77,44.44,49.25,44.21,42.51,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
HP 15s-fq2717TU Laptop,HP,11th Gen Core i3,8,512,0,Intel Integrated UHD,Windows,15.6,1920 x 1080,2,4,56,41900,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo V15 ‎82C70005UK Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,AMD Radeon Graphics,Windows,15.6,1920 x 1080,6,12,60,38480,56.3,73.06,55,75,66.45,62.97,64.2,63.9,63.87,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo V15 82KDA00XIH Laptop,Lenovo,AMD Ryzen 5 5500U,8,512,0,AMD Radeon Graphics,Windows,15.6,1920 x 1080,6,12,55,38489,56.3,73.06,55,75,66.45,62.97,64.2,63.9,63.87,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo E41-55 82FJ00AGIH Laptop,Lenovo,Athlon Gold 3150U,4,256,0,AMD Radeon RADEON,Windows,14.0,1920 x 1080,2,4,41,18990,17.65,7.39,30,60,21.24,24.52,34.53,26.64,23.39,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Asus VivoBook 15 X1500EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,Intel UHD Graphics,Windows,15.6,1920 x 1080,2,4,41,35978,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Victus 15-fa0165TX Laptop,HP,12th Gen Core i5,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,8,12,73,69990,99.91,77.12,55,75,79.18,79.25,77.68,78.0,80.35,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP 15s-FR2511TU Laptop,HP,11th Gen Core i3,8,512,0,Intel UHD Graphics,Windows,15.6,1920 x 1080,2,4,60,40880,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus TUF Gaming A17 FA706IHRB-HX041W Gaming Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,17.3,1920 x 1080,6,12,67,52990,62.82,77.12,55,75,69.91,66.27,66.56,66.88,67.37,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Pavilion 15-eg2009TU Laptop,HP,12th Gen Core i5,8,512,0,Intel Iris Xe,Windows,15.6,1920 x 1080,12,16,62,62990,99.91,28.12,55,75,57.13,67.0,72.78,65.75,65.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP 15s- eq2212AU Laptop,HP,AMD Ryzen 3 5300U,8,512,0,AMD Radeon Graphics,Windows,15.6,1920 x 1080,4,8,59,37990,43.04,73.06,55,75,63.14,58.33,60.22,59.93,59.23,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Dell Inspiron 3520 Laptop,Dell,12th Gen Core i5,8,256,1000,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,10,12,53,57990,99.91,28.12,55,65,55.63,65.5,69.28,63.75,64.15,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
HP 245 G8 62G68PA Laptop,HP,AMD Ryzen 3  3250U,8,0,1000,AMD Radeon Graphics,Windows,14.0,1920 x 1080,2,4,59,27890,17.49,73.06,55,50,53.0,45.64,43.8,47.26,46.54,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi,benchmark,benchmark
Acer One 14 Z2-493 Laptop,Acer,AMD Ryzen 3 3250U,4,256,0,AMD Radeon Radeon Graphics,Windows,14.0,1366 x 768,2,4,50,20990,17.49,73.06,30,60,50.75,40.89,41.05,43.01,43.04,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi,benchmark,benchmark
Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming Laptop,Acer,12th Gen Core i5,8,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,12,16,74,64990,99.91,100.0,55,75,89.48,84.97,79.97,83.72,87.22,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Dell Inspiron 5320 Laptop,Dell,12th Gen Core i7,16,512,0,Intel Integrated UHD,Windows,13.3,1920 x 1080,12,16,65,84918,100.0,16.42,80,75,55.64,70.36,77.89,69.1,67.18,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
MSI Bravo 15 B5DD-410IN Gaming Laptop,MSI,Ryzen 5 5600H,8,512,0,4 GB AMD Radeon RX 5500M,Windows,15.6,1920 x 1080,6,12,68,47990,73.2,40.09,55,75,55.84,60.64,65.97,60.73,59.9,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,Lenovo,AMD Ryzen 5 5500U,16,512,0,AMD Radeon,Windows,14.0,1920 x 1200,6,12,74,61100,56.3,7.39,80,75,40.65,52.8,63.88,53.74,49.17,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP Victus 15-fa0070TX Laptop,HP,12th Gen Core i5,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,8,12,71,67990,99.91,77.12,55,75,79.18,79.25,77.68,78.0,80.35,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo IdeaPad Slim 1 82R10049IN Laptop,Lenovo,AMD Ryzen 3 3250U,8,512,0,AMD Radeon Graphics,Windows,15.6,1920 x 1080,2,4,60,34300,17.49,73.06,55,75,56.75,49.39,52.55,52.26,50.29,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus Vivobook S15 OLED K3502ZA-L501WS Laptop,Asus,12th Gen Core i5,16,512,0,Intel Iris XE Graphics,Windows,15.6,1920 x 1080,12,16,65,73000,99.91,28.12,80,75,60.88,73.25,79.04,72.0,70.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo IdeaPad D330 82H0001YIN Laptop,Lenovo,Celeron N4020,4,0,128,Intel UHD Graphics 600,Windows,10.1,1200 x 800,4,2,49,22999,7.3,16.42,30,30,18.21,18.66,21.83,19.8,17.98,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Infinix INBook X1 XL11 Laptop,Infinix,10th Gen Core i3,8,256,0,Intel Integrated UHD,Windows,14.0,1920 x 1080,2,4,44,37999,54.52,16.42,55,60,38.27,45.94,52.75,46.21,44.01,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan",benchmark,benchmark
Realme Book Slim Laptop,Realme,11th Gen Core i5,8,512,0,Intel Iris Xe Graphics,Windows,14.0,1440 x 2160,4,8,61,39990,71.0,28.12,55,75,49.9,56.88,64.11,57.08,55.54,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Infinix Zero Book Series ZL12 Laptop,Infinix,12th Gen Core i7,16,512,0,Intel Integrated Iris Xe,Windows,15.6,1920 x 1080,14,20,63,64990,100.0,28.12,80,75,60.9,73.28,79.06,72.03,70.69,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus VivoBook 15 X1500EA-EJ701W Laptop,Asus,11th Gen Core i7,16,512,0,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,4,8,63,56799,86.0,28.12,80,75,57.4,68.38,74.86,67.83,65.79,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Lenovo IdeaPad Gaming 3 82K201YAIN Laptop,Lenovo,AMD Ryzen 5 5600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,6,12,69,55990,73.2,77.12,55,75,72.5,69.9,69.67,69.99,71.01,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming Laptop,Asus,Ryzen 5 5600H,8,512,0,AMD Radeon Graphics,Windows,14.0,2880 x 1800,6,12,69,53000,73.2,73.06,55,75,70.68,68.89,69.27,68.97,69.79,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Pavilion x360 14-ek0074TU Laptop,HP,12th Gen Core i5,16,512,0,Intel Integrated Iris Xe,Windows,14.0,1920 x 1080,10,12,68,73490,99.91,28.12,80,75,60.88,73.25,79.04,72.0,70.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo IdeaPad Gaming 3 82K201UEIN Laptop,Lenovo,AMD Ryzen 5-5600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,6,12,69,58490,73.2,77.12,55,75,72.5,69.9,69.67,69.99,71.01,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus Vivobook Pro 15 OLED M6500IH-HN701WS Laptop,Asus,Ryzen 7-4800H,16,512,0,4 GB NVIDIA GeForce GTX 1650 Max Q,Windows,15.6,1920 x 1080,8,16,69,58990,81.04,77.12,80,75,78.21,78.89,78.27,78.59,78.75,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,Asus,AMD Ryzen 5 4600H,8,512,0,4 GB NVIDIA GeForce GTX 1650,Windows,15.6,1920 x 1080,6,12,69,54990,62.82,77.12,55,75,69.91,66.27,66.56,66.88,67.37,Gaming,Low Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
HP Victus 15-fb0050AX Gaming Laptop,HP,AMD Ryzen 5 5600H,8,512,0,4 GB NVIDIA GeForce RTX 3050,Windows,15.6,1920 x 1080,6,12,72,67600,73.2,100.0,55,75,82.8,75.62,71.96,75.71,77.87,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Lenovo IdeaPad Slim 5 82SF008YIN Laptop,Lenovo,12th Gen Core i5,16,512,0,Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,10,12,66,72490,99.91,28.12,80,75,60.88,73.25,79.04,72.0,70.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,Acer,12th Gen Core i5,16,512,0,4 GB NVIDIA GeForce RTX 2050,Windows,15.6,1920 x 1080,12,16,69,62990,99.91,79.07,80,75,83.81,85.99,84.13,84.74,85.94,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk programming dan multitasking; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,benchmark,benchmark
Asus VivoBook 15 X1500EA-EJ322WS Laptop,Asus,11th Gen Core i3,8,512,0,Intel UHD Graphics,Windows,15.6,1920 x 1080,2,4,41,35325,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP 14s-dy5005TU Laptop,HP,12th Gen Core i5,16,512,0,Intel Integrated Intel Iris Xe Graphics,Windows,14.0,1920 x 1080,10,12,57,63990,99.91,28.12,80,75,60.88,73.25,79.04,72.0,70.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Asus Vivobook 15 2022 X1502ZA-EJ312WS Laptop,Asus,12th Gen Core i3,8,512,0,Intel Iris Xe,Windows,15.6,1920 x 1080,10,12,54,42300,54.52,28.12,55,75,45.78,51.11,59.17,52.14,49.77,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Lenovo IdeaPad Slim 3 82RK0062IN Laptop,Lenovo,12th Gen Core i5,8,512,0,‎Intel Iris Xe Graphics,Windows,15.6,1920 x 1080,10,12,55,58490,99.91,28.12,55,75,57.13,67.0,72.78,65.75,65.65,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
MSI Thin GF63 11SC-852IN Gaming Laptop,MSI,11th Gen Core i7,8,512,0,4 GB NVIDIA GeForce GTX 1650 MAX Q,Windows,15.6,1920 x 1080,8,16,73,64000,86.0,77.12,55,75,75.7,74.38,73.51,73.83,75.49,Gaming,Mid Budget,Cocok untuk gaming dan kebutuhan grafis tinggi; Cocok untuk AI ringan dan image processing; Memiliki storage yang mendukung workflow lebih cepat,fallback,benchmark
Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop,Asus,12th Gen Core i7,16,1000,0,Intel Iris Xe Graphics,Windows,17.3,2560 x 1920,10,12,80,329990,100.0,28.12,80,90,63.15,75.53,84.31,75.03,72.94,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Nokia PureBook S14 NKi511TL165S Laptop,Nokia,11th Gen Core i5,16,512,0,Intel Integrated Iris Xe,Windows,14.1,1920 x 1080,4,8,62,40990,71.0,28.12,80,75,53.65,63.13,70.36,63.33,60.54,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Dell Latitude 3420 Laptop,Dell,11th Gen Core i5,8,512,0,Intel UHD Graphics,Windows,14.0,1366 x 768,4,8,56,73740,71.0,16.42,55,75,44.64,53.96,62.94,54.16,52.03,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
Acer Aspire 3 A315-24 Laptop,Acer,Ryzen 5 7520U,8,512,0,AMD Radeon Graphiics,Windows,15.6,1920 x 1080,4,8,56,52490,64.95,7.39,55,75,39.06,49.58,60.22,50.08,47.2,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
HP 14s-dq2649TU Laptop,HP,11th Gen Core i3,8,512,0,Intel Integrated UHD,Windows,14.0,1920 x 1080,2,4,57,45500,54.52,16.42,55,75,40.52,48.19,58.0,49.21,46.26,Daily Use,Low Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop,Samsung,12th Gen Core i5,8,512,0,Intel Integrated UHD,Windows,15.6,1920 x 1080,10,12,60,67990,99.91,16.42,55,75,51.87,64.07,71.61,62.83,62.14,Daily Use,Mid Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Memiliki storage yang mendukung workflow lebih cepat",benchmark,benchmark
Samsung Galaxy Book 3 Pro NP960XFG-KC1IN Laptop,Samsung,13th Gen Core i7,16,512,0,‎Intel Iris Xe Graphics,Windows,16.0,2880 x 1800,12,16,73,149990,90.0,28.12,80,75,58.4,69.78,76.06,69.03,67.19,Daily Use,High Budget,"Cocok untuk penggunaan harian seperti browsing, mengetik, meeting online, dan tugas ringan; Cocok untuk programming dan multitasking; Memiliki storage yang mendukung workflow lebih cepat",fallback,benchmark
