processor_name,graphics,ram(GB),storage_size,storage_type,cpu_score,gpu_score,ram_score,storage_score,gaming_score,editing_score,daily_score,all_rounder_score,performance_score,usage_category
Ryzen 5 5500U,AMD Radeon AMD,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
10th Gen Core i5,Intel Integrated UHD,8,256,SSD,65,25,55,65,45.5,52.5,58.5,52.5,51.0,Daily Use
AMD Ryzen 3 3250U,AMD Radeon Graphics,8,512,SSD,32,30,55,80,41.75,44.45,54.35,46.85,43.2,Daily Use
12th Gen Core i5,Intel iris Xe Integrated,8,256,SSD,71,42,55,65,54.65,58.85,62.0,58.55,58.2,Daily Use
M2 Max 12-core CPU,38-core GPU,32,1000,SSD,94,35,95,95,67.75,79.65,88.7,79.7,76.65,Editing
12th Gen Core i7,Intel Integrated UHD,16,512,SSD,81,25,80,80,55.5,66.6,74.8,66.55,63.85,Daily Use
11th Gen Core i5,2 GB NVIDIA GeForce MX330,8,512,SSD,68,38,55,80,54.35,59.05,65.95,59.65,58.2,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,68,58,55,80,63.35,64.05,67.95,64.65,64.2,Gaming
11th Gen Core i7,Intel Integrated UHD,16,512,SSD,78,25,80,80,54.75,65.55,73.9,65.65,62.8,Daily Use
12th Gen Core i3,Intel Integrated Iris Xe Graphics,8,512,SSD,54,42,55,80,52.65,55.15,62.15,56.45,54.5,Daily Use
AMD Ryzen 3 5300U,AMD Radeon Graphics,8,512,SSD,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use
11th Gen Core i9,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,92,70,80,80,78.5,81.7,82.6,81.1,81.2,All-Rounder
12th Gen Core i7,Intel Integrated Iris Xe,16,1000,SSD,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing
12th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
12th Gen Core i5,2 GB NVIDIA GeForce MX550,16,512,SSD,71,46,80,80,62.45,68.35,73.9,68.8,66.65,Editing
12th Gen Core i5,Intel Iris Xe Graphics,8,256,SSD,71,42,55,65,54.65,58.85,62.0,58.55,58.2,Daily Use
AMD Ryzen 3 5300U,AMD Radeon Graphics,8,512,SSD,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use
AMD Ryzen 7 6800H,8 GB AMD Radeon RX 6650M,16,512,SSD,82,72,80,80,76.9,78.7,79.8,78.6,78.3,All-Rounder
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
Pentium Silver N6000,Intel UHD Graphics,8,256,SSD,30,25,55,65,36.75,40.25,48.0,42.0,38.75,Daily Use
10th Gen Core i5,Intel UHD,8,512,SSD,65,25,55,80,47.75,54.75,63.75,55.5,53.25,Daily Use
Celeron N4020,Intel Integrated UHD 600,4,32,HDD,22,25,30,25,25.0,25.2,25.35,25.35,24.95,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming
12th Gen Core i9,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,95,78,80,95,85.1,87.0,89.55,87.0,86.9,All-Rounder
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder
10th Gen Core i3,Intel Integrated UHD,8,512,SSD,48,25,55,80,43.5,48.8,58.65,50.4,47.3,Daily Use
Ryzen 5 5600H,4 GB AMD Radeon RX 5500M,8,512,SSD,72,52,55,80,61.65,63.95,68.55,64.35,63.8,Daily Use
 Celeron N5100,Intel Integrated UHD,4,128,SSD,20,25,30,50,28.25,28.25,33.5,29.75,28.0,Daily Use
12th Gen Core i7,4 GB NVIDIA GeForce RTX 3050,16,1000,SSD,81,70,80,95,78.0,80.1,84.55,80.8,79.6,All-Rounder
11th Gen Core i5,Intel Integrated Iris Xe,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
12th Gen Core i3,Intel Iris Xe,8,512,SSD,54,42,55,80,52.65,55.15,62.15,56.45,54.5,Daily Use
11th Gen Core i3,Intel Integrated UHD Graphics,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
2022) FX507ZE-HN038W Gaming Laptop ,4 GB NVIDIA GeForce RTX 3050-Ti,16,512,SSD,35,73,80,80,65.6,62.5,65.8,64.75,62.15,Gaming
AMD Ryzen 7 4800H,4 GB NVIDIA GeForce RTX 3050 Ti,16,1000,SSD,72,73,80,95,77.1,77.7,82.15,78.85,77.35,Gaming
 Celeron N5100,Intel Integrated UHD,8,256,SSD,20,25,55,65,34.25,36.75,45.0,39.0,35.25,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming
11th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,16,512,SSD,68,58,80,80,67.1,70.3,74.2,70.9,69.2,Editing
12th Gen Core i5,4 GB NVIDIA GeForce RTX 2050,8,512,SSD,71,60,55,80,65.0,65.6,69.05,66.05,65.85,Gaming
AMD Ryzen 5 3500U,AMD Radeon Graphics,8,512,SSD,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use
12th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,512,SSD,71,58,55,80,64.1,65.1,68.85,65.55,65.25,Gaming
Ryzen 5 5600H,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,72,70,80,80,73.5,74.7,76.6,75.1,74.2,Gaming
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,8,512,SSD,71,70,55,80,69.5,68.1,70.05,68.55,68.85,Gaming
Ryzen 5 5600H,AMD Radeon Graphics,16,512,SSD,72,30,80,80,55.5,64.7,72.6,65.1,62.2,Daily Use
12th Gen Core i7,Intel Integrated Iris Xe,16,1000,SSD,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing
12th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,1000,SSD,81,78,80,95,81.6,82.1,85.35,82.8,82.0,All-Rounder
Apple M2,10 Core GPU,8,512,SSD,85,35,55,80,57.25,64.25,70.75,64.0,63.25,Daily Use
12th Gen Core i7,Intel Iris Xe Graphics,16,1000,SSD,81,42,80,95,65.4,73.1,81.75,73.8,71.2,Editing
12th Gen Core i5,Intel Integrated Iris Xe,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,68,70,80,80,72.5,73.3,75.4,73.9,72.8,Gaming
12th Gen Core i7,4 GB NVIDIA GeForce RTX 3050 Ti,16,512,SSD,81,73,80,80,77.1,78.6,79.6,78.55,78.25,All-Rounder
11th Gen Core i5,Intel Iris Xe,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
Ryzen 5 5600H,4 GB NVIDIA GeForce RTX 3050Ti,8,512,SSD,72,70,55,80,69.75,68.45,70.35,68.85,69.2,Gaming
Athlon Silver 3050U,AMD Radeon Graphics,8,256,SSD,22,30,55,65,37.0,38.7,46.1,40.85,37.45,Daily Use
Celeron N4020,Intel Integrated UHD Graphics,4,128,SSD,22,25,30,50,28.75,28.95,34.1,30.35,28.7,Daily Use
Snapdragon 7c,Qualcomm Adreno,4,128,HDD,35,35,30,25,32.75,32.25,30.25,31.75,32.5,Daily Use
Pentium Silver N6000,Intel UHD Graphics,4,128,HDD,30,25,30,25,27.0,28.0,27.75,27.75,27.75,Daily Use
11th Gen Core i3,Intel UHD Graphics,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
Ryzen 5 5500U,AMD Radeon,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
Ryzen 7 5800H,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,78,70,80,80,75.0,76.8,78.4,76.9,76.3,All-Rounder
10th Gen Core i5,Intel Integrated UHD,8,512,SSD,65,25,55,80,47.75,54.75,63.75,55.5,53.25,Daily Use
M1 Pro 8-core CPU,14-Core GPU,16,512,SSD,86,35,80,80,61.25,70.85,77.3,70.55,68.6,Editing
Ryzen 5 5600H,4 GB AMD Radeon RX 5500M,8,512,SSD,72,52,55,80,61.65,63.95,68.55,64.35,63.8,Daily Use
11th Gen Core i5,2 GB NVIDIA GeForce MX350,8,512,SSD,68,40,55,80,55.25,59.55,66.15,60.15,58.8,Daily Use
11th Gen Core i5,Intel Iris Xe Graphics,8,256,SSD,68,42,55,65,53.9,57.8,61.1,57.65,57.15,Daily Use
11th Gen Core i5,4 GB NVIDIA GeForce GTX 1650,8,256,SSD,68,58,55,65,61.1,61.8,62.7,61.65,61.95,Gaming
11th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing
11th Gen Core i5,Intel Iris Xe Graphics,16,512,SSD,68,42,80,80,59.9,66.3,72.6,66.9,64.4,Editing
AMD Ryzen 3 3250U,AMD Radeon Vega 6,8,256,SSD,32,28,55,65,38.6,41.7,48.9,43.35,40.35,Daily Use
8LX79PA) Laptop ,Integrated UHD Graphics 620,8,512,SSD,35,25,55,80,40.25,44.25,54.75,46.5,42.75,Daily Use
11th Gen Core i3,Intel Integrated UHD,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
11th Gen Core i7,Intel Integrated Iris Xe,16,512,SSD,78,42,80,80,62.4,69.8,75.6,69.9,67.9,Editing
AMD Athlon Silver 3050U,AMD Radeon Graphics,8,1000,HDD,22,30,55,70,37.75,39.45,47.85,41.85,38.2,Daily Use
Ryzen 3 5300U,AMD Radeon Graphics,8,256,SSD,45,30,55,65,42.75,46.75,53.0,47.75,45.5,Daily Use
11th Gen Core i5,Intel Integrated Iris Xe,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
Apple M2,10 Core GPU,16,512,SSD,85,35,80,80,61.0,70.5,77.0,70.25,68.25,Editing
AMD Ryzen 3 5300U,AMD Radeon Graphics,8,512,SSD,45,30,55,80,45.0,49.0,58.25,50.75,47.75,Daily Use
13th Gen Core i7,Intel Iris Xe Integrated Graphics,16,1000,SSD,83,42,80,95,65.9,73.8,82.35,74.4,71.9,Editing
11th Gen Core i5,‎Intel Iris Xe Graphics,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
12th Gen Core i3,Intel HD Graphics,16,512,SSD,54,25,80,80,48.75,57.15,66.7,58.45,54.4,Daily Use
12th Gen Core i3,Intel UHD Graphics,8,512,SSD,54,25,55,80,45.0,50.9,60.45,52.2,49.4,Daily Use
12th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
AMD Ryzen 3 3250U,AMD Radeon Graphics,4,1000,HDD,32,30,30,70,36.5,36.7,44.6,38.6,36.7,Daily Use
 Pentium Silver N6005,Intel Integrated UHD,4,256,SSD,32,25,30,65,33.5,34.7,42.35,36.35,34.45,Daily Use
11th Gen Core i3,Intel UHD Graphics,8,512,SSD,51,25,55,80,44.25,49.85,59.55,51.3,48.35,Daily Use
11th Gen Core i5,Intel Integrated UHD,8,512,SSD,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use
Athlon 3050U,AMD Radeon Graphics,8,1000,HDD,25,30,55,70,38.5,40.5,48.75,42.75,39.25,Daily Use
Athlon 3150U,AMD Radeon AMD,4,1000,HDD,25,30,30,70,34.75,34.25,42.5,36.5,34.25,Daily Use
Athlon 3050U,AMD Radeon AMD,4,256,SSD,25,30,30,65,34.0,33.5,40.75,35.5,33.5,Daily Use
12th Gen Core i7,2 GB NVIDIA GeForce MX570,16,512,SSD,81,48,80,80,65.85,72.35,77.1,72.3,70.75,Editing
12th Gen Core i5,4 GB NVIDIA GeForce RTX 3050,16,512,SSD,71,70,80,80,73.25,74.35,76.3,74.8,73.85,Gaming
11th Gen Core i5,Intel Integrated Intel UHD,8,512,SSD,68,25,55,80,48.5,55.8,64.65,56.4,54.3,Daily Use
12th Gen Core i7,6 GB NVIDIA GeForce RTX 3060,16,512,SSD,81,78,80,80,79.35,79.85,80.1,79.8,79.75,All-Rounder
Ryzen 5-5600H,AMD Radeon Vega 7,16,512,SSD,72,31,80,80,55.95,64.95,72.7,65.35,62.5,Daily Use
Pentium N5030,Intel Integrated UHD 605,8,256,SSD,27,20,55,65,33.75,37.95,46.6,39.85,36.2,Daily Use
12th Gen Core i5,Intel Iris Xe,8,512,SSD,71,42,55,80,56.9,61.1,67.25,61.55,60.45,Daily Use
11th Gen Core i5,Intel Iris Xe Graphics,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
AMD Ryzen 5 5500U,AMD Radeon Graphics,8,512,SSD,62,30,55,80,49.25,54.95,63.35,55.85,53.7,Daily Use
12th Gen Core i9,8 GB NVIDIA GEFORCE RTX 3070 Ti,16,1000,SSD,95,86,80,95,88.7,89.0,90.35,89.0,89.3,All-Rounder
12th Gen Core i7,Intel Integrated Iris,16,512,SSD,81,42,80,80,63.15,70.85,76.5,70.8,68.95,Editing
AMD Athlon 3050,‎AMD Integrated,4,256,SSD,25,25,30,65,31.75,32.25,40.25,34.25,32.0,Daily Use
12th Gen Core i5,Intel Integrated Iris Xe,16,512,SSD,71,42,80,80,60.65,67.35,73.5,67.8,65.45,Editing
12th Gen Core i5,Intel Iris Xe,8,256,SSD,71,42,55,65,54.65,58.85,62.0,58.55,58.2,Daily Use
11th Gen Core i3,Intel Integrated UHD,8,256,SSD,51,25,55,65,42.0,47.6,54.3,48.3,46.1,Daily Use
11th Gen Core i7,Intel Integrated Iris Xe,16,512,SSD,78,42,80,80,62.4,69.8,75.6,69.9,67.9,Editing
11th Gen Core i5,Intel Integrated Iris Xe,8,512,SSD,68,42,55,80,56.15,60.05,66.35,60.65,59.4,Daily Use
